id,title,year,month,branch,description,innovations,impact,modelSize,link,parentIds
transformer,"""Attention Is All You Need""",2017,6,foundation,"The Transformer architecture introduced by Vaswani et al. replaced recurrent networks with self-attention mechanisms, enabling better parallelization and sequence modeling.",Self-attention mechanism | Multi-head attention | Positional encoding | Encoder-decoder architecture without recurrence or convolution,Formed the backbone for almost all later LLMs. Enabled parallel training on unprecedented data volumes.,,https://arxiv.org/abs/1706.03762,
gpt1,GPT-1: Generative Pre-Training,2018,6,decoder-only,OpenAI's first Generative Pre-trained Transformer introduced unsupervised pre-training plus supervised fine-tuning for NLP.,Decoder-only Transformer for language modeling | Two-stage training: unsupervised pre-training + supervised fine-tuning | Transfer learning paradigm for NLP,Showed substantial gains in low-data regimes via transfer learning.,117M parameters,https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf,transformer
bert,BERT: Bidirectional Encoder Representations,2018,10,encoder-only,Google's BERT used bidirectional self-attention for deep language understanding.,Masked Language Model (MLM) pre-training objective | Next Sentence Prediction (NSP) | Bidirectional context understanding,BERT's bidirectional embeddings improved accuracy across many NLP tasks.,340M parameters (BERT-Large),https://arxiv.org/abs/1810.04805,transformer
gpt2,GPT-2: Scaling Up,2019,2,decoder-only,"GPT-2 demonstrated the power of scale with 10x GPT-1's size, trained on high-quality web pages.",Scale-driven capabilities (10x parameters of GPT-1) | Unsupervised multitask learning | Zero-shot task transfer,Showed that model size + data diversity = emergent abilities.,1.5B parameters,,gpt1
t5,T5: Text-to-Text Transfer Transformer,2019,10,encoder-decoder,Google's T5 unified all NLP tasks as text-to-text problems with a single model.,Text-to-text framework for all NLP tasks | Unified approach to transfer learning,,Up to 11B parameters,https://arxiv.org/abs/1910.10683,transformer
gpt3,GPT-3: Few-Shot Learning,2020,5,decoder-only,OpenAI's GPT-3 scaled to 175B parameters and demonstrated remarkable few-shot learning abilities.,Few-shot learning via in-context examples | Massive scale (100× GPT-2) | Emergent abilities across diverse tasks,Confirmed that performance improves predictably with model size and data.,175B parameters,https://arxiv.org/abs/2005.14165,gpt2
rag,Retrieval-Augmented Generation (RAG),2020,5,hybrid,RAG combined parametric knowledge with non-parametric retrieval to enhance factual accuracy.,Non-parametric memory via external knowledge retrieval | Combined generation with retrieval for better factuality,Influenced many 'LLM + search' systems and addressed knowledge cutoff issues.,,https://arxiv.org/abs/2005.11401,transformer
scaling-laws,Scaling Laws for Neural Language Models,2020,1,theory,"Kaplan et al. formalized empirical scaling laws showing predictable improvements with model size, data, and compute.",Power-law relationships between model performance and resources | Optimal allocation of compute budgets,Guided later model design decisions about model size vs. training data tradeoffs.,,https://arxiv.org/abs/2001.08361,gpt2
switch-transformer,Switch Transformer (MoE),2021,1,mixture-of-experts,Google introduced a simplified Mixture-of-Experts architecture reaching trillion-plus parameters with sparse activation.,Sparse scaling via Mixture-of-Experts | Efficient parameter scaling without proportional computation increase,Demonstrated that extremely large sparse models can be trained efficiently.,Up to 1.6T parameters (sparsely activated),https://arxiv.org/abs/2101.03961,transformer
flan,FLAN: Instruction Tuning,2021,10,alignment,Google showed that fine-tuning on tasks described via natural language instructions improved zero-shot generalization.,Instruction tuning across varied tasks | Improved zero-shot performance on unseen tasks,"Finetuned models became better zero-shot learners, reducing need for prompt engineering.",,https://arxiv.org/abs/2109.01652,gpt3
